id,date,content,username,likecount,retweetcount,replycount,typeofphone,languge
1602975143533355011,2022-12-14 10:33:50+00:00,"Trêve de la réconciliation : Dadis prêt à ""croiser le fer"" avec Sékouba Konaté…#ProcesDu28Sept #Guinee #Kibaro 👉https://t.co/BLECumL6rq https://t.co/fQMv60dbWU",Africaguinee,1,0,0,Twitter for iPhone,fr
1602970396113911809,2022-12-14 10:14:58+00:00,"J’ai écouté le discours de dadis pour le procès je ne sais pas combien de fois je me suis endormi tellement il est éparpillé. Bref je vais pour le début des questions
#ProcesDu28Sept",Keiinzo,0,0,0,Twitter for iPhone,fr
1602914480064794625,2022-12-14 06:32:47+00:00,"L'ancien président Guinnéen Moussa Dadis Camara qui craque après avoir fait face juste à un seul procureur.
J'imagine ce qu'il fera face à Me Paul
#ProcesDu28Sept",layera42,0,0,0,Twitter Web App,fr
1602897471260299264,2022-12-14 05:25:12+00:00,"Les avocats de certains accusés devront être condamnés au même titre que leurs clients.
Pourquoi Ils défendent un criminel ?
#ProcesDu28Sept",GondwanaisX,2,0,4,Twitter for Android,fr
1602823064387047425,2022-12-14 00:29:32+00:00,"On ne juge pas un fou.
#Dadis Camara est un fou

#ProcesDu28Sept https://t.co/NqYioQTry6",elhidiop,1,0,0,Twitter for Android,fr
1602758080470683649,2022-12-13 20:11:18+00:00,"Procès sur le massacre de 2009 : Quant un trouble de la voix ""perturbe"" la comparution de Dadis…#ProcesDu28Sept 👉https://t.co/8eWX1rTLJ4 https://t.co/ODhb6IWaWV",Africaguinee,6,1,0,Twitter for iPhone,fr
1602747057458286592,2022-12-13 19:27:30+00:00,"Le monde entier suivait la télé toute la nuit avec les décrets : CNDD/GH/JGGQ/397/H20/2008GUINEE.
Et DADIS ose nous dire que le CNDD n'était pas structuré.
#ProcesDu28Sept",GondwanaisX,3,0,0,Twitter for Android,fr
1602737918539628544,2022-12-13 18:51:11+00:00,De part les déclarations de Mr Dadis ici a la barre on comprends tout simplement que c’était un régime mal organisé qui ne savait même pas quel était la direction du vent #ProcesDu28Sept,ABDOUBOUKARIAm4,2,0,0,Twitter for iPhone,fr
1602733064253227010,2022-12-13 18:31:54+00:00,Est-ce que Claude Pivi et Marcel savent que #Dadis dans ses sorties égyptiennes va les balancer en les démentant sans faire exprès ?#ProcesDu28Sept,Celloulacoste2,0,0,0,Twitter for iPhone,fr
1602730956166778880,2022-12-13 18:23:31+00:00,"#Guinee #ProcesDu28Sept
Procès 28 septembre. Dadis Camara malade, l’audience renvoyée au 19 décembre https://t.co/qOvmrIQm7h via @Woulanews",woulanews,0,0,0,Twitter for Android,fr
